"donor_id","infection","hpi","condition","cell_type","n_cells","EA_release_score","EA_recycle_score","EA_proxy","FLT1_expr","PGF_expr","FLT1_minus_PGF","Angio_stress_score"
"scDonor_Tg2","UI","24h","UI_24h","EVT_2",122,0.0369048596568446,0.158859956753059,-0.30322701252319,2.64469675841879,0.786134408389936,0.426190322469873,0.724649599515582
"scDonor_Tg2","UI","24h","UI_24h","Endo_f",376,0.0991483356354507,0.174398685833241,0.143909165969472,2.44875138102377,0.41645923042868,0.753370643159548,0.835477588689776
"scDonor_Tg2","UI","24h","UI_24h","F",646,0.0796216803346256,0.128462026252097,0.286515626106284,1.30641808612243,0.090793058091642,0.305934290152288,0.837970850284861
"scDonor_Tg2","UI","24h","UI_24h","F_p",38,0.124985880496209,0.199324224261861,0.202239106655212,1.26923088572527,0.0772609514625449,0.295140556385342,0.837676294175978
"scDonor_Tg2","UI","24h","UI_24h","F_sm",13,0.0490033351458036,0.0615717218472407,0.474718918194399,1.03442975649467,0.0357954777204073,0.17038338809592,0.795812297653366
"scDonor_Tg2","UI","24h","UI_24h","HBC",1529,0.110223671252077,0.246051393368417,-0.251103643641673,0.105753036984593,0.0449587421100696,-0.545944622237359,0.852573029976782
"scDonor_Tg2","UI","24h","UI_24h","HBC_p",23,0.0932006632936174,0.264110820189766,-0.52708074688081,0,0.0311066728571187,-0.608343450975165,0.742958157514193
"scDonor_Tg2","UI","24h","UI_24h","PAMM1",346,0.103021766617176,0.182726430358914,0.121025626311686,0.13155944628178,0.0540314773259135,-0.538044892759684,0.97508031486985
"scDonor_Tg2","UI","24h","UI_24h","PV",431,0.0512108243512075,0.1477927153459,-0.0996108532261738,2.45711712494251,0.232670192859566,0.996283971528106,0.628296544205522
"scDonor_Tg2","UI","24h","UI_24h","VCT",315,0.0777486081318881,0.214656556702795,-0.323963057297571,1.8371625177917,0.793448568620379,-0.195853785758979,0.506268195125386
"scDonor_Tg2","UI","24h","UI_24h","VCT_CCC",89,0.0770006142277619,0.279760145538309,-0.779127243628534,1.39699365834842,0.516148341840573,-0.172853469641457,0.569051651950824
"scDonor_Tg2","UI","24h","UI_24h","VCT_fusing",152,0.105248089373242,0.229821361473909,-0.183593525310539,1.65059342303951,2.06669785003913,-1.97627423505278,0.758039897020654
"scDonor_Tg2","UI","24h","UI_24h","VCT_p",97,0.0682139319025262,0.215413854409432,-0.414071997892647,0.951129952656854,0.90001664502719,-1.00520615411655,0.452135702913328
"scDonor_Tg2","UI","24h","UI_24h","iEVT",94,0.0919559209587726,0.162062562336313,0.164856263735879,2.73997810292751,1.34592900060593,-0.222072942834754,0.789634615952845
"scDonor_Tg2","UI","48h","UI_48h","EVT_1",2,0.196114793419838,0.264564669132233,0.386087086172125,1.80994033813477,2.24109244346619,-2.07986146214383,0.774371606963021
"scDonor_Tg2","UI","48h","UI_48h","EVT_2",109,0.0686050903405254,0.152687919522644,0.0215352388853389,2.5238655376325,1.34527076712442,-0.385177807569084,0.683349908257531
"scDonor_Tg2","UI","48h","UI_48h","Endo_f",421,0.126560673188427,0.180370738160865,0.346832507401346,2.70966978162315,0.601630712843847,0.712968206065203,0.82659062245386
"scDonor_Tg2","UI","48h","UI_48h","F",385,0.0859653598947442,0.160656095015538,0.121208670595006,1.53967769447859,0.0939663489917656,0.4788103333695,1.00563340248723
"scDonor_Tg2","UI","48h","UI_48h","F_p",14,0.0826232837779181,0.121027689959322,0.364456164266971,1.2607574824776,0.347150836672102,-0.0586804000217916,0.799880147436444
"scDonor_Tg2","UI","48h","UI_48h","HBC",1105,0.137938157870219,0.268379753846928,-0.158170189033374,0.154946686172377,0.0515065793537986,-0.517052385828928,0.948929857639397
"scDonor_Tg2","UI","48h","UI_48h","HBC_p",7,0.112222136840934,0.284313892466681,-0.496904105778046,0.161218624029841,0,-0.4459967892402,0.824413522925912
"scDonor_Tg2","UI","48h","UI_48h","PAMM1",36,0.106172952387068,0.222365645567576,-0.123995928852272,0.12342819902632,0.0581776201725006,-0.549550368166606,0.875986236487589
"scDonor_Tg2","UI","48h","UI_48h","PV",562,0.0410870756083395,0.151322658720602,-0.214065595704031,2.5883671931949,0.217780658544383,1.11502109637249,0.635279782434587
"scDonor_Tg2","UI","48h","UI_48h","VCT",117,0.0926449778901036,0.207588248209566,-0.142639240954831,2.38406131563024,0.568912680714558,0.508061360712453,0.533670933464581
"scDonor_Tg2","UI","48h","UI_48h","VCT_CCC",31,0.0646095787004758,0.225660845445048,-0.516755739174118,2.10592075605546,0.382430078521852,0.537085967446324,0.64085033978872
"scDonor_Tg2","UI","48h","UI_48h","VCT_fusing",218,0.117369630758505,0.224539073501978,-0.0392794072037291,2.5456304361514,1.09139120818005,-0.041881284831882,0.778503654429477
"scDonor_Tg2","UI","48h","UI_48h","VCT_p",21,0.0866922258384644,0.234069778167066,-0.378073104220076,2.0070551832517,0.555290020647503,0.239583190144568,0.436603402478152
"scDonor_Tg2","UI","48h","UI_48h","iEVT",3,0.0132876634597778,0.144088840484619,-0.411742832137106,2.80363686879476,1.23680649201075,-0.033320096967328,0.732942048992429
"scDonor_Tg3","Tg","24h","Tg_24h","EVT_1",25,0.107475636551778,0.191972074449062,0.0969865242881372,1.40457969129086,2.03001878261566,-2.11569864939327,0.615182877842869
"scDonor_Tg3","Tg","24h","Tg_24h","EVT_2",45,0.053572957355667,0.146310269203451,-0.068366933101987,3.34172414938609,0.88847631878323,0.823253867755797,0.708675148267122
"scDonor_Tg3","Tg","24h","Tg_24h","Endo_f",529,0.214278895208388,0.268641992366832,0.519721854764016,3.10185587946995,0.112643574017658,1.63990402200289,0.905359751434985
"scDonor_Tg3","Tg","24h","Tg_24h","F",375,0.193290437181791,0.185797122104963,0.903577133147784,1.480036444664,0.153921029090881,0.356392427453729,0.818275118189199
"scDonor_Tg3","Tg","24h","Tg_24h","F_p",30,0.220955475171407,0.1839152298371,1.16285691443017,1.1230223039786,0.162010849018892,0.0751334930320066,0.843184954105389
"scDonor_Tg3","Tg","24h","Tg_24h","F_sm",1,0,0,0.462591533604413,0.381315469741821,0,-0.279022026346884,0.439836812870843
"scDonor_Tg3","Tg","24h","Tg_24h","HBC",867,0.148603241571276,0.296997619269903,-0.260364802574873,0.377639771264042,0.0447838456126095,-0.339454741983635,0.978006773728194
"scDonor_Tg3","Tg","24h","Tg_24h","HBC_p",2,0.0869541813929876,0.294158524274826,-0.789697521349292,0.299494415521622,0.171844005584717,-0.56228643454661,0.571780029152121
